Description,Category
MTA*NYCT PAYGO 12/15 PURCHASE NEW YORK NY,Public Transit
Transfer VENMO,Transfers
LTIMINDTREE LIMI DES:PAYROLL ID:XXXX INDN:PATEL SPARSH,Salary Deposit
CHIPOTLE 1256 08/07 PURCHASE NEW BRUNSWICK NJ,Food & Dining
ACME 2827 08/03 PURCHASE OLD BRIDGE NJ,Food & Dining
SCARLET PUB 09/26 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
WAL-MART #5201 08/10 PURCHASE EDISON NJ,Retail
TARGET T-1929 09/01 PURCHASE SOUTH PLAINFIELD NJ,Retail
SNACK* AKIHI BUBBLE TE 09/05 PURCHASE XXX-XX682146 CA,Food & Dining
NBPA - PARKMOBILE. 08/07 PURCHASE NEW BRUNSWICK NJ,Parking
Etsy.com - SponkEditing 08/06 PURCHASE XXX-XX93879 NY,Online Shopping
HUEY'S KNIGHT CLUB 09/13 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
SQ *POSTER INVASION 09/03 PURCHASE GREENVILLE SC,Online Shopping
PLAYA BOWLS NEW BRUNS 08/16 PURCHASE NEW BRUNSWICK NJ,Food & Dining
ZARA.COM 12/01 PURCHASE NEW YORK NY,Clothing & Apparel
Homebase DES:Homebase ID: INDN:SPARSH PATEL,Salary Deposit
MARSHALLS #230 08/06 REFUND SO PLAINFIELD NJ,Retail
OLDE QUEENS TAVERN 09/13 PURCHASE XXX-XX64006 NJ,Bars & Pubs
NBPA - PARKMOBILE. 08/26 PURCHASE NEW BRUNSWICK NJ,Parking
TST* TACORIA- NEW BRUNS 08/22 PURCHASE NEW BRUNSWICK NJ,Food & Dining
Apple.com/Bill 10/01 PURCHASE Cupertino CA,Online Shopping
Spotify USA 09/02 SUBSCRIPTION XXX-XX99999 NY,Online Shopping
Amazon.com AMZN.COM 08/01 PURCHASE Seattle WA,Online Shopping
Transfer ZELLE,Transfers
Cash App Transfer 08/10,Transfers
Walmart Grocery 09/10 PURCHASE New Brunswick NJ,Food & Dining
Rite Aid 08/03 PURCHASE New Brunswick NJ,Retail
PayPal *Spotify 08/08 SUBSCRIPTION ONLINE NY,Online Shopping
UNIQLO 10/04 PURCHASE NEW YORK NY,Clothing & Apparel
Patagonia.com 10/03 PURCHASE CA,Clothing & Apparel
Forever 21 08/17 PURCHASE Mall of America,Clothing & Apparel
MTA*NYCT PAYGO 08/15 PURCHASE New York NY,Public Transit
NJ TRANSIT TICKET 09/20 PURCHASE NEW BRUNSWICK NJ,Public Transit
COSTCO GAS 08/15 PURCHASE Edison NJ,Retail
Panera Bread 08/05 PURCHASE New Brunswick NJ,Food & Dining
DUNKIN DONUTS 08/09 PURCHASE Edison NJ,Food & Dining
Wawa 09/01 PURCHASE Piscataway NJ,Food & Dining
PARKMOBILE 10/06 PARKING Edison NJ,Parking
SpotHero 09/02 PARKING Newark NJ,Parking
Uber Trip 09/05 NEW YORK NY,Public Transit
Uber Eats 09/06 DELIVERY New Brunswick NJ,Food & Dining
Domino's Pizza 08/12 DELIVERY NEW BRUNSWICK NJ,Food & Dining
THE ALE N WICH PUB 09/09 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
GOLDEN RAIL PUB 09/30 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
SCARLET PUB 10/01 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
Etsy.com 09/03 PURCHASE ONLINE,Online Shopping
Amazon.com Gift 09/02 PURCHASE Seattle WA,Online Shopping
ROSS DRESS FOR LESS 08/28 PURCHASE Piscataway NJ,Clothing & Apparel
ZARA STORE 10/11 PURCHASE NEW YORK NY,Clothing & Apparel
Urban Outfitters 09/13 PURCHASE NYC,Clothing & Apparel
ATM Withdrawal 08/11 NEW BRUNSWICK NJ,Transfers
Bank of America Deposit 08/01,Salary Deposit
CHASE DIRECT DEPOSIT 08/15 PAYROLL,Salary Deposit
Work Paycheck DEPOSIT 09/01,Salary Deposit
Salary via ACH 10/01 PAYROLL,Salary Deposit
Transfer VENMO 09/20,Transfers
Transfer Zelle 09/22,Transfers
Zelle Transfer 10/02,Transfers
VENMO PAYMENT 09/03,Transfers
Zelle Transfer to Joe 08/15,Transfers
MTA METROCARD 09/10 RELOAD NEW YORK NY,Public Transit
New Jersey Transit 10/01 TRAIN TICKET,Public Transit
Subway Fare 08/14 MTA NYC,Public Transit
Starbucks 09/12 PURCHASE NEW BRUNSWICK NJ,Food & Dining
CHIPOTLE 10/04 PURCHASE BRIDGEWATER NJ,Food & Dining
KFC 09/20 PURCHASE SOUTH PLAINFIELD NJ,Food & Dining
PARKMOBILE 10/02 PARKING Rutgers NJ,Parking
Edison Parking Authority 09/08 PARKING Edison NJ,Parking
Rutgers Parking 09/01 PERMIT,Parking
Marshalls 08/15 PURCHASE Piscataway NJ,Retail
Best Buy 09/04 PURCHASE NYC,Retail
Target 09/13 PURCHASE Edison NJ,Retail
H&M 09/12 PURCHASE Jersey City NJ,Clothing & Apparel
Nordstrom Rack 10/01 PURCHASE Online,Clothing & Apparel
MAC COSMETICS 09/10 PURCHASE Manhattan NY,Retail
DSW Shoes 09/08 PURCHASE Edison NJ,Retail
SHEIN.COM 10/02 PURCHASE ONLINE,Clothing & Apparel
Depop Marketplace 09/04 PURCHASE,Online Shopping
GAP.com 10/05 PURCHASE Online,Clothing & Apparel
Uber Trip 10/02 NEWARK NJ,Public Transit
NJ Transit App Ticket 10/01,Public Transit
Taco Bell 09/10 PURCHASE New Brunswick NJ,Food & Dining
Wendy's 09/12 PURCHASE Edison NJ,Food & Dining
Raising Cane's 09/14 PURCHASE Jersey City NJ,Food & Dining
Panda Express 09/15 PURCHASE NEW BRUNSWICK NJ,Food & Dining
Amazon Fresh 10/01 ORDER ONLINE,Online Shopping
Trader Joe's 09/20 PURCHASE Edison NJ,Food & Dining
Home Depot 10/01 PURCHASE Piscataway NJ,Retail
GameStop 09/23 PURCHASE NEW BRUNSWICK NJ,Retail
CVS Pharmacy 09/21 PURCHASE NEW BRUNSWICK NJ,Retail
Chipotle 09/15 PURCHASE South Plainfield NJ,Food & Dining
Milk Street Cafe 09/12 PURCHASE NYC,Food & Dining
Smashburger 09/09 PURCHASE New Brunswick NJ,Food & Dining
GOLDEN RAIL PUB 10/04 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
THE ALE N WICH PUB 10/05 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
Red Robin 10/06 PURCHASE Edison NJ,Bars & Pubs
GOLDEN RAIL PUB 10/07 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
MTA*NYCT PAYGO 12/15 PURCHASE NEW YORK NY,Public Transit
Transfer VENMO,Transfers
LTIMINDTREE LIMI DES:PAYROLL ID:XXXX INDN:PATEL SPARSH,Salary Deposit
CHIPOTLE 1256 08/07 PURCHASE NEW BRUNSWICK NJ,Food & Dining
ACME 2827 08/03 PURCHASE OLD BRIDGE NJ,Food & Dining
SCARLET PUB 09/26 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
WAL-MART #5201 08/10 PURCHASE EDISON NJ,Retail
TARGET T-1929 09/01 PURCHASE SOUTH PLAINFIELD NJ,Retail
SNACK* AKIHI BUBBLE TE 09/05 PURCHASE XXX-XX682146 CA,Food & Dining
NBPA - PARKMOBILE. 08/07 PURCHASE NEW BRUNSWICK NJ,Parking
Etsy.com - SponkEditing 08/06 PURCHASE XXX-XX93879 NY,Online Shopping
HUEY'S KNIGHT CLUB 09/13 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
SQ *POSTER INVASION 09/03 PURCHASE GREENVILLE SC,Online Shopping
PLAYA BOWLS NEW BRUNS 08/16 PURCHASE NEW BRUNSWICK NJ,Food & Dining
ZARA.COM 12/01 PURCHASE NEW YORK NY,Clothing & Apparel
Homebase DES:Homebase ID: INDN:SPARSH PATEL,Salary Deposit
MARSHALLS #230 08/06 REFUND SO PLAINFIELD NJ,Retail
OLDE QUEENS TAVERN 09/13 PURCHASE XXX-XX64006 NJ,Bars & Pubs
NBPA - PARKMOBILE. 08/26 PURCHASE NEW BRUNSWICK NJ,Parking
TST* TACORIA- NEW BRUNS 08/22 PURCHASE NEW BRUNSWICK NJ,Food & Dining
Apple.com/Bill 10/01 PURCHASE Cupertino CA,Online Shopping
Spotify USA 09/02 SUBSCRIPTION XXX-XX99999 NY,Online Shopping
Amazon.com AMZN.COM 08/01 PURCHASE Seattle WA,Online Shopping
Transfer ZELLE,Transfers
Cash App Transfer 08/10,Transfers
Walmart Grocery 09/10 PURCHASE New Brunswick NJ,Food & Dining
Rite Aid 08/03 PURCHASE New Brunswick NJ,Retail
PayPal *Spotify 08/08 SUBSCRIPTION ONLINE NY,Online Shopping
UNIQLO 10/04 PURCHASE NEW YORK NY,Clothing & Apparel
Patagonia.com 10/03 PURCHASE CA,Clothing & Apparel
Forever 21 08/17 PURCHASE Mall of America,Clothing & Apparel
MTA*NYCT PAYGO 08/15 PURCHASE New York NY,Public Transit
NJ TRANSIT TICKET 09/20 PURCHASE NEW BRUNSWICK NJ,Public Transit
COSTCO GAS 08/15 PURCHASE Edison NJ,Retail
Panera Bread 08/05 PURCHASE New Brunswick NJ,Food & Dining
DUNKIN DONUTS 08/09 PURCHASE Edison NJ,Food & Dining
Wawa 09/01 PURCHASE Piscataway NJ,Food & Dining
PARKMOBILE 10/06 PARKING Edison NJ,Parking
SpotHero 09/02 PARKING Newark NJ,Parking
Uber Trip 09/05 NEW YORK NY,Public Transit
Uber Eats 09/06 DELIVERY New Brunswick NJ,Food & Dining
Domino's Pizza 08/12 DELIVERY NEW BRUNSWICK NJ,Food & Dining
THE ALE N WICH PUB 09/09 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
GOLDEN RAIL PUB 09/30 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
SCARLET PUB 10/01 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
Etsy.com 09/03 PURCHASE ONLINE,Online Shopping
Amazon.com Gift 09/02 PURCHASE Seattle WA,Online Shopping
ROSS DRESS FOR LESS 08/28 PURCHASE Piscataway NJ,Clothing & Apparel
ZARA STORE 10/11 PURCHASE NEW YORK NY,Clothing & Apparel
Urban Outfitters 09/13 PURCHASE NYC,Clothing & Apparel
ATM Withdrawal 08/11 NEW BRUNSWICK NJ,Transfers
Bank of America Deposit 08/01,Salary Deposit
CHASE DIRECT DEPOSIT 08/15 PAYROLL,Salary Deposit
Work Paycheck DEPOSIT 09/01,Salary Deposit
Salary via ACH 10/01 PAYROLL,Salary Deposit
Transfer VENMO 09/20,Transfers
Transfer Zelle 09/22,Transfers
Zelle Transfer 10/02,Transfers
VENMO PAYMENT 09/03,Transfers
Zelle Transfer to Joe 08/15,Transfers
MTA METROCARD 09/10 RELOAD NEW YORK NY,Public Transit
New Jersey Transit 10/01 TRAIN TICKET,Public Transit
Subway Fare 08/14 MTA NYC,Public Transit
Starbucks 09/12 PURCHASE NEW BRUNSWICK NJ,Food & Dining
CHIPOTLE 10/04 PURCHASE BRIDGEWATER NJ,Food & Dining
KFC 09/20 PURCHASE SOUTH PLAINFIELD NJ,Food & Dining
PARKMOBILE 10/02 PARKING Rutgers NJ,Parking
Edison Parking Authority 09/08 PARKING Edison NJ,Parking
Rutgers Parking 09/01 PERMIT,Parking
Marshalls 08/15 PURCHASE Piscataway NJ,Retail
Best Buy 09/04 PURCHASE NYC,Retail
Target 09/13 PURCHASE Edison NJ,Retail
H&M 09/12 PURCHASE Jersey City NJ,Clothing & Apparel
Nordstrom Rack 10/01 PURCHASE Online,Clothing & Apparel
MAC COSMETICS 09/10 PURCHASE Manhattan NY,Retail
DSW Shoes 09/08 PURCHASE Edison NJ,Retail
SHEIN.COM 10/02 PURCHASE ONLINE,Clothing & Apparel
Depop Marketplace 09/04 PURCHASE,Online Shopping
GAP.com 10/05 PURCHASE Online,Clothing & Apparel
Uber Trip 10/02 NEWARK NJ,Public Transit
NJ Transit App Ticket 10/01,Public Transit
Taco Bell 09/10 PURCHASE New Brunswick NJ,Food & Dining
Wendy's 09/12 PURCHASE Edison NJ,Food & Dining
Raising Cane's 09/14 PURCHASE Jersey City NJ,Food & Dining
Panda Express 09/15 PURCHASE NEW BRUNSWICK NJ,Food & Dining
Amazon Fresh 10/01 ORDER ONLINE,Online Shopping
Trader Joe's 09/20 PURCHASE Edison NJ,Food & Dining
Home Depot 10/01 PURCHASE Piscataway NJ,Retail
GameStop 09/23 PURCHASE NEW BRUNSWICK NJ,Retail
CVS Pharmacy 09/21 PURCHASE NEW BRUNSWICK NJ,Retail
Chipotle 09/15 PURCHASE South Plainfield NJ,Food & Dining
Milk Street Cafe 09/12 PURCHASE NYC,Food & Dining
Smashburger 09/09 PURCHASE New Brunswick NJ,Food & Dining
GOLDEN RAIL PUB 10/04 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
THE ALE N WICH PUB 10/05 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
Red Robin 10/06 PURCHASE Edison NJ,Bars & Pubs
GOLDEN RAIL PUB 10/07 PURCHASE NEW BRUNSWICK NJ,Bars & Pubs
H&M 11/01 PURCHASE NEW YORK NY,Clothing & Apparel
Gap Outlet 11/02 PURCHASE BRIDGEWATER NJ,Clothing & Apparel
Forever 21 11/03 PURCHASE NEW YORK NY,Clothing & Apparel
Zara 11/04 PURCHASE NEW YORK NY,Clothing & Apparel
Uniqlo 11/05 PURCHASE NEW YORK NY,Clothing & Apparel
Nike Store 11/06 PURCHASE NEW YORK NY,Clothing & Apparel
Adidas 11/07 PURCHASE NEW YORK NY,Clothing & Apparel
Patagonia 11/08 PURCHASE NEW YORK NY,Clothing & Apparel
Lululemon 11/09 PURCHASE NEW YORK NY,Clothing & Apparel
Leviâ€™s 11/10 PURCHASE NEW YORK NY,Clothing & Apparel
Parking Meter NYC 11/11 PAYMENT NEW YORK NY,Parking
SpotHero 11/12 PARKING RESERVATION NEW YORK NY,Parking
ParkMobile App 11/13 PARKING PAYMENT NEW YORK NY,Parking
Edison Parking Permit 11/14 PURCHASE EDISON NJ,Parking
NYC Garage Parking 11/15 PAYMENT NEW YORK NY,Parking
Airport Parking Lot 11/16 PAYMENT NEWARK NJ,Parking
Meter Parking 11/17 PAYMENT NEW YORK NY,Parking
Monthly Parking Pass 11/18 PURCHASE NEW YORK NY,Parking
PARKMOBILE 11/19 PARKING FEE NEW YORK NY,Parking
Valet Parking 11/20 PAYMENT NEW YORK NY,Parking
Best Buy 11/21 PURCHASE NEW YORK NY,Retail
Target 11/22 PURCHASE NEW YORK NY,Retail
Walmart 11/23 PURCHASE NEW YORK NY,Retail
Costco Wholesale 11/24 PURCHASE NEW YORK NY,Retail
Home Depot 11/25 PURCHASE NEW YORK NY,Retail
Lowe's 11/26 PURCHASE NEW YORK NY,Retail
Staples 11/27 PURCHASE NEW YORK NY,Retail
Office Depot 11/28 PURCHASE NEW YORK NY,Retail
CVS Pharmacy 11/29 PURCHASE NEW YORK NY,Retail
Walgreens 11/30 PURCHASE NEW YORK NY,Retail
Amazon.com 12/01 PURCHASE ONLINE,Retail
eBay 12/02 PURCHASE ONLINE,Retail
Overstock 12/03 PURCHASE ONLINE,Retail
Sephora 12/04 PURCHASE NEW YORK NY,Retail
Ulta Beauty 12/05 PURCHASE NEW YORK NY,Retail
Barnes & Noble 12/06 PURCHASE NEW YORK NY,Retail
GameStop 12/07 PURCHASE NEW YORK NY,Retail
Macy's 12/08 PURCHASE NEW YORK NY,Retail
Nordstrom 12/09 PURCHASE NEW YORK NY,Retail
Ross Dress for Less 12/10 PURCHASE NEW YORK NY,Retail
TJ Maxx 12/11 PURCHASE NEW YORK NY,Retail
Dollar Tree 12/12 PURCHASE NEW YORK NY,Retail
Bath & Body Works 12/13 PURCHASE NEW YORK NY,Retail
Dollar General 12/14 PURCHASE NEW YORK NY,Retail
Dollar Tree 12/15 PURCHASE NEW YORK NY,Retail
Best Buy Online 12/16 PURCHASE ONLINE,Retail
Starbucks Coffee NEW BRUNSWICK NJ,Food & Dining
Chipotle Mexican Grill EDISON NJ,Food & Dining
Panera Bread SO PLAINFIELD NJ,Food & Dining
Wendy's Fast Food PISCATAWAY NJ,Food & Dining
Domino's Pizza Delivery NEW BRUNSWICK NJ,Food & Dining
Trader Joe's Grocery EDISON NJ,Food & Dining
Taco Bell NEW BRUNSWICK NJ,Food & Dining
Panda Express NEW BRUNSWICK NJ,Food & Dining
Transfer VENMO 12/03,Transfers
Transfer ZELLE 12/04,Transfers
Cash App Transfer 12/05,Transfers
Zelle Transfer to Mike 12/06,Transfers
ATM Withdrawal NEW BRUNSWICK NJ,Transfers
CHASE DIRECT DEPOSIT PAYROLL 12/01,Salary Deposit
Bank of America Payroll Deposit 12/02,Salary Deposit
Homebase Payroll ACH Credit 12/03,Salary Deposit
LTIMINDTREE PAYROLL ID:XXXX 12/04,Salary Deposit
MTA*NYCT PAYGO 12/01 NEW YORK NY,Public Transit
NJ TRANSIT TICKET 12/02 NEW BRUNSWICK NJ,Public Transit
Uber Trip 12/03 NYC,Public Transit
Subway Fare 12/04 MTA NYC,Public Transit
SpotHero PARKING NYC 12/01,Parking
PARKMOBILE 12/02 EDISON NJ,Parking
Rutgers Parking PERMIT 12/03,Parking
Valet Parking PAYMENT NYC 12/04,Parking
WAL-MART #5201 EDISON NJ,Retail
Target T-1929 SO PLAINFIELD NJ,Retail
Best Buy PURCHASE NYC,Retail
Home Depot PURCHASE PISCATAWAY NJ,Retail
GameStop NEW BRUNSWICK NJ,Retail
Sephora NEW YORK NY,Retail
Ulta Beauty NEW YORK NY,Retail
Amazon.com PURCHASE ONLINE,Online Shopping
Spotify USA SUBSCRIPTION,Online Shopping
Apple.com/Bill Cupertino CA,Online Shopping
Etsy.com Handmade Goods 12/01,Online Shopping
Depop Marketplace Streetwear,Online Shopping
ZARA STORE NEW YORK NY,Clothing & Apparel
H&M Purchase JERSEY CITY NJ,Clothing & Apparel
UNIQLO NEW YORK NY,Clothing & Apparel
Forever 21 MALL OF AMERICA,Clothing & Apparel
Nike Store Purchase NEW YORK NY,Clothing & Apparel
SCARLET PUB NEW BRUNSWICK NJ,Bars & Pubs
GOLDEN RAIL PUB NEW BRUNSWICK NJ,Bars & Pubs
THE ALE N WICH PUB NEW BRUNSWICK NJ,Bars & Pubs
Red Robin Edison NJ,Bars & Pubs